date,action,truth,reward
80,486.824,tensor(134.5681),tensor(124084.2344)
239,500.0,tensor(93.2557),tensor(165440.9688)
293,487.4117,tensor(143.5875),tensor(118215.1172)
296,474.9901,tensor(19.2184),tensor(207727.8438)
159,463.1784,tensor(178.4620),tensor(81063.4141)
34,470.5061,tensor(17.9917),tensor(204769.3125)
193,479.0498,tensor(253.0455),tensor(51077.9531)
51,459.658,tensor(128.8181),tensor(109455.0391)
296,473.043,tensor(89.7031),tensor(146949.4844)
253,458.612,tensor(183.0342),tensor(75943.1172)
238,459.207,tensor(178.0122),tensor(79070.5156)
293,473.521,tensor(104.3823),tensor(136263.3594)
215,445.0435,tensor(158.2387),tensor(82257.)
99,488.8201,tensor(187.5204),tensor(90781.5000)
316,500.0,tensor(3.5776),tensor(246435.1875)
322,500.0,tensor(67.8022),tensor(186794.9844)
112,500.0,tensor(115.3480),tensor(147957.1875)
45,500.0,tensor(116.9633),tensor(146717.1250)
337,500.0,tensor(65.3490),tensor(188921.5156)
148,500.0,tensor(208.3882),tensor(85037.4531)
326,500.0,tensor(0.2052),tensor(249794.8125)
56,500.0,tensor(120.1933),tensor(144253.1250)
230,500.0,tensor(163.2207),tensor(113420.3359)
14,500.0,tensor(89.1146),tensor(168826.7969)
96,500.0,tensor(235.5706),tensor(69922.8828)
72,500.0,tensor(74.4560),tensor(181087.6562)
297,500.0,tensor(26.8247),tensor(223894.8906)
343,500.0,tensor(5.3754),tensor(244653.5000)
264,500.0,tensor(123.0770),tensor(142070.9219)
121,500.0,tensor(237.7903),tensor(68753.9062)
350,500.0,tensor(5.6088),tensor(244422.6562)
262,485.0497,tensor(172.9720),tensor(97392.4922)
290,500.0,tensor(172.4457),tensor(107291.8359)
57,494.2792,tensor(145.9876),tensor(121307.0547)
207,493.938,tensor(169.4816),tensor(105271.9688)
182,500.0,tensor(219.5552),tensor(78649.2969)
115,500.0,tensor(155.3810),tensor(118762.2266)
41,488.3546,tensor(99.8308),tensor(150950.7969)
270,470.8876,tensor(156.9903),tensor(98531.5234)
347,482.8785,tensor(34.5749),tensor(200976.1094)
271,500.0,tensor(169.4020),tensor(109295.0156)
67,500.0,tensor(56.5111),tensor(196682.3906)
326,500.0,tensor(10.7888),tensor(239327.6094)
241,500.0,tensor(163.0520),tensor(113533.9531)
255,500.0,tensor(189.0533),tensor(96687.8203)
56,500.0,tensor(80.4863),tensor(175991.7188)
175,458.2431,tensor(234.9184),tensor(49873.9297)
190,451.2988,tensor(180.9794),tensor(73072.6094)
147,432.5815,tensor(202.0632),tensor(53138.6836)
341,418.7526,tensor(23.9718),tensor(155851.8438)
210,398.2321,tensor(193.2295),tensor(42026.0586)
25,418.9271,tensor(32.6169),tensor(149235.6094)
293,448.753,tensor(42.6215),tensor(164942.7969)
260,423.5468,tensor(56.3742),tensor(134815.7188)
91,424.0631,tensor(150.5060),tensor(74833.5156)
184,464.0655,tensor(159.0176),tensor(93054.2109)
3,461.3229,tensor(13.4872),tensor(200556.8594)
45,446.5411,tensor(8.2651),tensor(192085.8750)
23,424.8807,tensor(82.2007),tensor(117429.5781)
363,400.7113,tensor(42.6114),tensor(128235.5234)
70,423.96,tensor(73.8777),tensor(122557.5781)
101,439.613,tensor(173.2393),tensor(70954.9219)
281,470.4593,tensor(112.2969),tensor(128280.3359)
92,422.0263,tensor(132.9347),tensor(83573.9609)
28,366.8633,tensor(101.0145),tensor(70675.5625)
85,398.0205,tensor(70.5105),tensor(107262.7656)
119,395.2968,tensor(216.6424),tensor(31917.4062)
19,430.1508,tensor(45.3904),tensor(148040.5312)
307,439.9938,tensor(65.0139),tensor(140609.9375)
251,443.6446,tensor(178.1767),tensor(70473.2031)
179,404.1369,tensor(223.0550),tensor(32790.6641)
307,396.7667,tensor(55.0689),tensor(116757.4141)
199,360.0029,tensor(109.6927),tensor(62655.1953)
325,354.2349,tensor(65.2368),tensor(83519.8750)
39,372.8339,tensor(150.6444),tensor(49368.1680)
360,387.861,tensor(25.0142),tensor(131657.7969)
169,367.3309,tensor(221.2472),tensor(21340.4414)
224,388.0108,tensor(136.3045),tensor(63356.0469)
218,371.8687,tensor(185.1565),tensor(34861.4531)
130,377.2663,tensor(30.1166),tensor(120512.9062)
94,374.8277,tensor(192.6520),tensor(33187.9922)
346,385.1387,tensor(61.2146),tensor(104926.7812)
351,371.9151,tensor(3.2626),tensor(135904.6875)
35,397.7523,tensor(22.2062),tensor(141034.8438)
331,411.2143,tensor(70.8289),tensor(115862.2266)
138,414.8078,tensor(240.2349),tensor(30475.6953)
92,380.1822,tensor(93.6875),tensor(82079.2109)
80,382.2832,tensor(171.1393),tensor(44581.7344)
155,374.3754,tensor(128.3089),tensor(60548.6992)
102,341.2599,tensor(82.1318),tensor(67147.3594)
242,363.5573,tensor(35.2654),tensor(107775.5703)
203,364.242,tensor(82.4028),tensor(79433.3516)
