date,action,truth,reward
134,139.9205,0.0,-19577.74632025
134,139.9205,0.0,-19577.74632025
134,139.9205,0.0,-19577.74632025
134,123.3536,0.0,-15216.11063296
134,139.9205,0.0,-19577.74632025
134,130.2712,0.0,-16970.58554944
134,139.9205,0.0,-19577.74632025
134,66.0911,0.04432247206568718,-4362.176821824449
134,139.9205,0.20131191611289978,-19521.45151882062
134,107.4149,0.2239292860031128,-11489.90420260894
134,139.9205,0.6451407074928284,-19397.625706056966
134,139.9205,1.3914011716842651,-19190.311222185268
134,65.4429,2.448774814605713,-3968.259807873126
134,67.211,2.276763439178467,-4216.455077736731
134,139.9205,1.7515865564346313,-19090.64864217546
134,139.9205,1.7871050834655762,-19080.83479116726
134,111.3585,1.3491257429122925,-12102.062424435993
134,139.9205,0.7948837876319885,-19355.937086471116
134,113.5958,0.23580385744571686,-12850.488725439922
134,117.6445,0.016597293317317963,-13836.323495172806
134,139.9205,0.0,-19577.74632025
134,14.7342,0.0,-217.09664963999998
134,51.9924,0.0,-2703.2096577600005
134,139.9205,0.0,-19577.74632025
135,139.9205,0.0,-19577.74632025
135,137.5216,0.0,-18912.19046656
135,80.3036,0.0,-6448.66817296
135,139.9205,0.0,-19577.74632025
135,99.7717,0.0,-9954.39212089
135,139.9205,0.0,-19577.74632025
135,127.8951,0.22518639266490936,-16299.606840504406
135,123.8,1.7721357345581055,-14890.79965718511
135,139.9205,4.152573585510254,-18432.929842890302
135,72.7685,4.6669535636901855,-4637.820627016862
135,108.1088,6.010741233825684,-10424.013603821184
135,139.9205,9.349336624145508,-17048.828705324086
135,139.9205,8.490555763244629,-17273.830242076627
135,136.8007,17.67149543762207,-14191.767379664889
135,107.0929,17.405261993408203,-8043.87241120145
135,75.2509,19.31464385986328,-3128.864750974983
135,53.7594,15.022764205932617,-1500.5269526422223
135,139.9205,9.513640403747559,-17005.9490297567
135,139.9205,3.950549840927124,-18487.827346260765
135,139.9205,0.4643884301185608,-19448.00705419122
135,139.9205,0.00019072739814873785,-19577.69294694055
135,39.4638,0.0,-1557.3915104399998
135,139.9205,0.0,-19577.74632025
135,139.9205,0.0,-19577.74632025
136,139.9205,0.0,-19577.74632025
136,139.9205,0.0,-19577.74632025
136,139.9205,0.0,-19577.74632025
136,88.8698,0.0,-7897.84135204
136,139.9205,0.0,-19577.74632025
136,139.9205,0.0005509310285560787,-19577.592147463565
136,119.5495,0.2472125142812729,-14233.035799325078
136,130.0861,3.189358949661255,-16102.782889196724
136,139.9205,8.752959251403809,-17204.923746034645
136,139.9205,14.26496410369873,-15789.313701386658
136,82.5938,18.547969818115234,-4101.868363686822
136,139.9205,21.044084548950195,-14131.602150490593
136,97.5035,22.026548385620117,-5696.770224999443
136,139.9205,21.975156784057617,-13911.103986326447
136,41.6559,20.77225685119629,-436.1265511665763
136,89.5489,16.46036720275879,-5341.933626453405
136,122.3808,12.92759895324707,-11980.003219380915
136,131.8641,9.553485870361328,-14959.88632876937
136,49.8564,3.9285621643066406,-2109.3662882617464
136,136.0431,0.44322362542152405,-18387.326472800967
136,76.6745,0.0005582269513979554,-5878.893347016847
136,139.9205,0.0,-19577.74632025
136,85.8429,0.0,-7369.00348041
136,139.9205,0.0,-19577.74632025
137,139.9205,0.0,-19577.74632025
137,139.9205,0.0,-19577.74632025
137,139.9205,0.0,-19577.74632025
137,139.9205,0.0,-19577.74632025
137,139.9205,0.0,-19577.74632025
137,105.7767,0.0006655207835137844,-11188.569470148395
137,139.9205,0.2640829086303711,-19503.9148347986
137,139.9205,3.2497856616973877,-18678.884157741915
137,132.1455,8.764631271362305,-15222.838768233327
137,139.9205,14.134822845458984,-15822.036577226423
137,139.9205,18.22574806213379,-14809.612649218792
137,88.9464,20.66543960571289,-4662.289552366205
137,139.9205,21.74007225036621,-13966.613503086413
137,125.0213,21.044397354125977,-10811.196283829564
137,139.9205,20.25755500793457,-14319.220404174077
137,139.9205,18.229143142700195,-14808.78633377069
137,139.9205,14.497800827026367,-15730.853467834242
137,73.3652,9.412628173828125,-4089.931443181673
137,139.9205,3.913832187652588,-18497.813689418217
137,139.9205,0.4571110010147095,-19450.03687108229
137,139.9205,0.0010019716573879123,-19577.465928503374
137,139.9205,0.0,-19577.74632025
137,114.796,0.0,-13178.121616000002
137,139.9205,0.0,-19577.74632025
138,139.9205,0.0,-19577.74632025
138,104.3504,0.0,-10889.005980159998
138,139.9205,0.0,-19577.74632025
138,139.9205,0.0,-19577.74632025
138,106.4598,0.0,-11333.68901604
138,139.9205,0.00034983697696588933,-19577.648421642916
138,139.9205,0.25806480646133423,-19505.59580418939
138,139.9205,3.203063488006592,-18691.65744641095
138,26.9957,7.768868923187256,-369.6710332562923
138,100.0642,13.513452529907227,-7491.031887631771
138,119.6544,17.779184341430664,-10378.559565480009
138,120.8795,19.857210159301758,-10205.503044658042
138,139.9205,20.82246208190918,-14184.342635939
138,139.9205,19.483625411987305,-14505.040760528698
138,47.1219,17.901042938232422,-853.858487424252
138,139.9205,18.036693572998047,-14855.662269134884
138,139.9205,12.866704940795898,-16142.666838946237
138,139.9205,9.289910316467285,-17064.350961067485
138,71.6826,3.8522982597351074,-4600.9498341753815
138,139.9205,0.4951367974281311,-19439.431904169083
138,139.9205,0.0,-19577.74632025
138,116.1547,0.0,-13491.914332090002
138,37.8657,0.0,-1433.8112364899998
138,139.9205,0.0,-19577.74632025
139,132.6427,0.0,-17594.085863289998
139,139.9205,0.0,-19577.74632025
139,90.4215,0.0,-8176.047662249999
139,104.3129,0.0,-10881.18110641
139,53.8125,0.0,-2895.78515625
139,135.7446,0.002036835066974163,-18426.04345458583
139,139.9205,1.1112966537475586,-19267.99493362126
139,139.9205,3.506920099258423,-18608.664781336007
139,0.9558,7.088185787200928,-37.60615544306394
139,136.7644,11.099884986877441,-15791.570333483303
139,139.9205,0.0,-19577.74632025
139,139.9205,19.301084518432617,-14549.043391114978
139,121.4663,21.086801528930664,-10076.043713303412
139,139.9205,17.138572692871094,-15075.401673253087
139,77.9167,21.502683639526367,-3182.5412419197874
139,72.4475,17.469594955444336,-3022.57004308818
139,17.6967,15.564576148986816,-4.545952116059288
139,139.9205,8.695919036865234,-17219.890648950313
139,139.9205,3.837331771850586,-18518.628675010816
139,44.333,0.8520582318305969,-1890.5922970469385
139,139.9205,0.006691381335258484,-19575.873842180346
139,139.9205,0.0,-19577.74632025
139,80.1914,0.0,-6430.66063396
139,139.9205,0.0,-19577.74632025
140,95.0708,0.0,-9038.457012640001
140,123.8281,0.0,-15333.39834961
140,139.9205,0.0,-19577.74632025
140,139.9205,0.0,-19577.74632025
140,139.9205,0.0,-19577.74632025
140,139.9205,0.0,-19577.74632025
140,78.0357,0.08280403912067413,-6076.653988687677
140,62.3372,1.7481725215911865,-3671.0302507793785
140,139.9205,2.944277286529541,-18762.48558885026
140,139.9205,12.91518783569336,-16130.349317952978
140,127.4949,14.487452507019043,-12770.683188878847
140,49.0834,16.975601196289062,-1030.9107440195814
140,20.5389,18.75281524658203,-3.1900987463921324
140,96.9,16.38129997253418,-6483.261054113025
140,116.4962,11.98280143737793,-10923.050479109494
140,11.1453,9.996460914611816,-1.3198312441155597
140,139.9205,3.5062923431396484,-18608.836050649017
140,35.9673,0.7120011448860168,-1242.9360973634014
140,139.9205,0.9131153225898743,-19323.052994853475
140,117.4829,0.1518513560295105,-13766.574975893769
140,121.6075,0.0,-14788.38405625
140,38.8814,0.0,-1511.76326596
140,139.9205,0.0,-19577.74632025
140,106.2455,0.0,-11288.106270250002
141,97.2955,0.0,-9466.41432025
141,131.3788,0.0,-17260.389089440003
141,67.5082,0.0,-4557.35706724
141,40.0087,0.0,-1600.6960756899998
141,87.8012,0.0,-7709.050721439999
141,139.9205,0.0,-19577.74632025
141,139.9205,0.4787348210811615,-19444.005876212745
141,139.9205,0.9973006248474121,-19299.6553246284
141,105.4117,0.5017815828323364,-11006.090982296773
141,139.9205,4.018594741821289,-18469.327852802984
141,139.9205,13.928071975708008,-15874.0919194564
141,62.6324,11.599835395812988,-2604.322650080521
141,92.3852,22.945205688476562,-4821.912809984407
141,58.3881,24.234474182128906,-1166.470156507151
141,139.9205,25.341691970825195,-13128.303249386494
141,124.2761,21.21269416809082,-10622.065621672811
141,139.9205,17.15793228149414,-15070.648032840738
141,139.9205,11.715909957885742,-16436.416907866584
141,76.6879,5.0725789070129395,-5128.754215251637
141,139.9205,0.7865239977836609,-19358.263278185314
141,139.9205,0.005850663408637047,-19576.109098981327
141,139.9205,0.0,-19577.74632025
141,127.4028,0.0,-16231.47344784
141,33.2584,0.0,-1106.12117056
142,78.9951,0.0,-6240.225824009999
142,121.9085,0.0,-14861.682372250001
142,101.4186,0.0,-10285.73242596
142,139.9205,0.0,-19577.74632025
142,139.9205,0.0,-19577.74632025
142,139.9205,0.00038050394505262375,-19577.639839790296
142,75.2903,0.48501232266426086,-5595.831064488959
142,4.7628,4.275104999542236,-0.23784641347149846
142,50.4375,8.997503280639648,-1717.2733281005967
142,139.9205,9.111987113952637,-17110.86704345922
142,139.9205,16.169328689575195,-15314.352400702108
142,139.9205,14.430898666381836,-15747.640042870422
142,129.6294,9.87713623046875,-14340.604677927387
142,139.9205,16.8759765625,-15139.954747961488
142,90.1384,6.796106815338135,-6945.937833278136
142,87.2288,0.18564258515834808,-7576.511252744905
142,67.1987,0.8163862228393555,-4406.611582409412
142,139.9205,0.682766318321228,-19387.146480810105
142,139.9205,5.031887054443359,-18194.93790237619
142,106.8874,1.728632926940918,-11058.366292325894
142,78.0028,0.05833328515291214,-6075.339891461905
142,139.0259,0.0,-19328.20087081
142,139.9205,0.0,-19577.74632025
142,23.7388,0.0,-563.5306254400001
143,139.9205,0.0,-19577.74632025
143,81.8126,0.0,-6693.30151876
143,139.4567,0.0,-19448.17117489
143,98.3151,0.0,-9665.85888801
143,111.5761,0.0,-12449.22609121
143,139.9205,0.0,-19577.74632025
143,101.95,0.9137738347053528,-10208.318997724571
143,139.9205,4.42974853515625,-18357.74373250806
143,35.2839,8.89903450012207,-696.1611274466487
143,139.9205,15.343611717224121,-15519.401094219224
143,118.0111,23.355195999145508,-8959.740162218981
143,18.7863,26.335046768188477,-56.98357777023596
143,139.9205,25.024438858032227,-13201.104865938798
143,120.62,26.199758529663086,-8915.181999316732
143,116.4509,20.536588668823242,-9199.555118133903
143,79.7907,14.571305274963379,-4253.569448300134
143,108.4661,12.936283111572266,-9125.945914736532
143,139.9205,9.923882484436035,-16899.120565487832
143,22.4256,5.376276969909668,-290.67941578436853
143,139.9205,0.8581936359405518,-19338.32505129153
143,139.9205,0.005729262251406908,-19576.14307059675
143,139.9205,0.0,-19577.74632025
143,139.9205,0.0,-19577.74632025
143,139.9205,0.0,-19577.74632025
144,111.1755,0.0,-12359.99180025
144,139.9205,0.0,-19577.74632025
144,0.0,0.0,-0.0
144,117.8197,0.0,-13881.48170809
144,139.9205,0.0,-19577.74632025
144,139.9205,0.0022062230855226517,-19577.128933442946
144,92.5149,0.5242716073989868,-8462.275712065612
144,119.0342,4.36516809463501,-13148.986878113614
144,109.2698,10.888542175292969,-9678.871891171479
144,125.8888,17.24907875061035,-11802.589033145085
144,131.8946,21.896902084350586,-12099.493546742462
144,139.9205,24.55393409729004,-13309.444528184322
144,139.9205,20.7327880859375,-14205.710671309556
144,76.1996,25.507949829101562,-2569.643397048748
144,139.9205,20.339086532592773,-14299.714446863003
144,139.9205,10.386298179626465,-16779.109441241264
144,139.9205,6.961363792419434,-17678.13190106596
144,76.9474,0.5213876962661743,-5840.935356650474
144,136.419,1.2170337438583374,-18279.57167952687
144,139.9205,0.37592393159866333,-19472.688710109847
144,107.7073,0.02644570916891098,-11595.166380803197
144,139.9205,0.0,-19577.74632025
144,139.9205,0.0,-19577.74632025
144,139.9205,0.0,-19577.74632025
145,103.5772,0.0,-10728.23635984
145,139.9205,0.0,-19577.74632025
145,139.9205,0.0,-19577.74632025
145,123.8373,0.0,-15335.67687129
145,139.9205,0.0,-19577.74632025
145,139.9205,0.0,-19577.74632025
145,139.9205,0.0,-19577.74632025
145,139.9205,0.30764690041542053,-19491.748750606184
145,139.9205,1.237508773803711,-19232.97205544524
145,139.9205,2.776144504547119,-18808.574244263156
145,139.9205,6.430788040161133,-17819.50319912075
145,76.555,6.316040992736816,-4933.511362423998
145,139.9205,5.172668933868408,-18156.977977026738
145,65.8375,3.8523693084716797,-3842.156426845847
145,92.1199,8.274496078491211,-7030.051758760962
145,101.3779,9.050812721252441,-8524.29104537747
145,97.765,5.317196846008301,-8546.596307999198
145,139.9205,2.563833236694336,-18866.8539043258
145,112.032,0.562883734703064,-12425.363880966284
145,112.7925,0.057398803532123566,-12709.203041777853
145,139.9205,0.0,-19577.74632025
145,95.5918,0.0,-9137.792227240001
145,42.1667,0.0,-1778.03058889
145,139.9205,0.0,-19577.74632025
146,130.8554,0.0,-17123.13570916
146,139.9205,0.0,-19577.74632025
146,59.0664,0.0,-3488.83960896
146,139.9205,0.0,-19577.74632025
146,139.9205,0.0,-19577.74632025
146,139.9205,3.979995653935475e-06,-19577.745206484055
146,139.9205,0.5746293663978577,-19417.271662636584
146,2.8202,3.625195264816284,-0.6480173763766398
146,139.9205,7.149403095245361,-17628.16417329175
146,139.9205,11.775885581970215,-16421.04220434553
146,139.9205,18.88979148864746,-14648.432402759985
146,139.9205,24.700407028198242,-13275.669824430643
146,139.9205,23.270896911621094,-13607.129900676338
146,125.565,22.593059539794922,-10603.22052214002
146,120.642,25.119503021240234,-9124.547429057167
146,139.9205,22.1732120513916,-13864.4238192525
146,26.3783,14.3341646194458,-145.06119706511743
146,139.9205,13.056275367736816,-16094.531491545335
146,124.3428,5.479206562042236,-14128.553844984115
146,139.9205,0.9484810829162598,-19313.222041890283
146,0.0,0.023509955033659935,-0.0005527179856847121
146,139.9205,0.0,-19577.74632025
146,139.9205,0.0,-19577.74632025
146,134.4799,0.0,-18084.843504009998
147,139.9205,0.0,-19577.74632025
147,111.9229,0.0,-12526.73554441
147,131.3168,0.0,-17244.10196224
147,102.2497,0.0,-10455.00115009
147,49.2962,0.0,-2430.11533444
147,139.9205,0.008221344090998173,-19575.44571868873
147,79.8903,1.0066545009613037,-6222.629527218008
147,131.4967,3.687840223312378,-16335.104637417
147,139.9205,11.356067657470703,-16528.813263556793
147,139.9205,17.579702377319336,-14967.270762953707
147,139.9205,19.243709564208984,-14562.887749883823
147,135.0428,21.34093475341797,-12928.114160551899
147,136.203,18.022809982299805,-13966.557312619725
147,79.058,17.286767959594727,-3815.6851077895917
147,139.9205,18.58469009399414,-14722.378765546391
147,139.9205,12.611684799194336,-16207.534427832888
147,102.5728,4.830348014831543,-9553.586920072961
147,50.6738,3.107422351837158,-2262.5602825676456
147,97.8172,1.1227778196334839,-9349.811280794956
147,139.9205,0.4660300612449646,-19447.549185899134
147,139.9205,0.026204727590084076,-19570.413849764213
147,128.4738,0.0,-16505.517286440005
147,48.9162,0.0,-2392.7946224400002
147,139.9205,0.0,-19577.74632025
148,139.9205,0.0,-19577.74632025
148,98.6554,0.0,-9732.88794916
148,139.9205,0.0,-19577.74632025
148,139.9205,0.0,-19577.74632025
148,131.8002,0.0,-17371.292720039997
148,139.9205,0.0004842760681640357,-19577.61080018533
148,139.9205,0.913899302482605,-19322.835037479046
148,133.9794,1.9179342985153198,-17440.230723224413
148,139.9205,4.973599910736084,-18210.66584370178
148,74.6022,3.573906660079956,-5045.01845478173
148,102.3321,4.270078182220459,-9616.16012299067
148,139.9205,3.7743356227874756,-18535.778074626975
148,139.9205,5.7463297843933105,-18002.7079530466
148,139.9205,7.726956844329834,-17475.132852050032
148,139.9205,10.184064865112305,-16831.542601508925
148,139.9205,12.814406394958496,-16155.959031533574
148,139.9205,11.813992500305176,-16411.277263769367
148,115.4694,7.375426292419434,-11684.307151895116
148,139.9205,4.200637340545654,-18419.88112030115
148,139.9205,1.6937487125396729,-19106.634771485416
148,139.9205,0.02731737494468689,-19570.102544967078
148,0.0,0.0,-0.0
148,139.9205,0.0,-19577.74632025
148,139.9205,0.0,-19577.74632025
149,139.9205,0.0,-19577.74632025
149,139.9205,0.0,-19577.74632025
149,139.9205,0.0,-19577.74632025
149,139.9205,0.0,-19577.74632025
149,99.1664,0.0,-9833.97488896
149,100.8441,0.0030512867961078882,-10168.91710557876
149,25.202,0.48527899384498596,-610.9162972961046
149,139.9205,1.7576184272766113,-19088.98184447839
149,139.9205,0.11256087571382523,-19546.25984218011
149,139.9205,0.0,-19577.74632025
149,139.9205,0.0,-19577.74632025
149,82.7782,0.23088160157203674,-6814.059774771444
149,139.9205,1.3624331951141357,-19198.337876707214
149,91.7516,16.791343688964844,-5619.040026216086
149,41.1794,15.983952522277832,-634.8105736026564
149,109.523,5.460716724395752,-10828.958800532102
149,111.6602,4.456027507781982,-11492.734599741236
149,125.6917,7.309473991394043,-14014.35143475266
149,56.7027,5.142994403839111,-2658.4032411627845
149,115.7844,1.31282639503479,-13103.74116359697
149,139.9205,0.027579564601182938,-19570.029187944827
149,106.2995,0.0,-11299.58370025
149,119.8943,0.0,-14374.64317249
149,53.8584,0.0,-2900.7272505600004
150,107.3582,0.0,-11525.783107239999
150,125.9841,0.0,-15871.99345281
150,139.9205,0.0,-19577.74632025
150,111.9755,0.0,-12538.51260025
150,53.2656,0.0,-2837.2241433599997
150,139.9205,0.01203498337417841,-19574.37858330841
150,129.319,0.7412981986999512,-16532.225400504034
150,111.304,4.5221357345581055,-11402.366536003257
150,139.9205,10.801766395568848,-16671.64736761206
150,73.0114,17.26776695251465,-3107.3526253327004
150,139.9205,22.519868850708008,-13782.90819425211
150,139.9205,25.505712509155273,-13090.74359657516
150,123.0433,25.372041702270508,-9539.674697461793
150,125.1949,25.850629806518555,-9869.284020275447
150,20.5822,23.84563636779785,-10.650016926665632
150,136.4761,23.109848022460938,-12851.90708743488
150,125.6269,18.394142150878906,-11498.864355928243
150,139.9205,7.862024784088135,-17439.44087635161
150,72.0467,3.849119186401367,-4650.910028827317
150,106.651,1.3850924968719482,-11080.91128245711
150,130.9425,0.022462494671344757,-17140.056220396662
150,121.6291,0.0,-14793.637966809998
150,50.6059,0.0,-2560.95711481
150,139.9205,0.0,-19577.74632025
151,107.7967,0.0,-11620.12853089
151,11.9799,0.0,-143.51800401000003
151,139.9205,0.0,-19577.74632025
151,132.1418,0.0,-17461.455307239998
151,139.9205,0.0,-19577.74632025
151,127.5111,0.0006286539719440043,-16258.920302886241
151,116.1491,0.024820085614919662,-13484.84838563446
151,113.0161,2.652305841445923,-12180.167061071694
151,139.9205,0.5708374977111816,-19418.328439501798
151,139.9205,1.3263260126113892,-19208.345063246546
151,139.9205,6.96671199798584,-17676.709744084525
151,139.9205,14.812158584594727,-15652.097091713611
151,136.104,24.913482666015625,-12363.331144999083
151,49.1124,27.161048889160156,-481.8618155913697
151,139.9205,26.279817581176758,-12914.204700615843
151,139.9205,23.74416160583496,-13496.941602675546
151,139.9205,19.125307083129883,-14591.47863182387
151,69.0006,12.82522964477539,-3155.6722345466487
151,139.9205,5.83935022354126,-17977.754725377163
151,139.9205,0.8955210447311401,-19327.94477351295
151,117.2872,0.013134792447090149,-13753.206370305372
151,95.3302,0.0,-9087.847032040001
151,139.9205,0.0,-19577.74632025
151,79.7419,0.0,-6358.77061561
152,139.9205,0.0,-19577.74632025
152,135.8662,0.0,-18459.62430244
152,79.8941,0.0,-6383.067214809999
152,49.0565,0.0,-2406.54019225
152,139.9205,0.0,-19577.74632025
152,77.5451,0.0055810920894145966,-6012.376992470224
152,139.9205,0.6345959901809692,-19400.56305583252
